Dia,P5,P50,P95
101,-0.08413266673618587,0.06190276648439241,0.23557910854292044
102,-0.08428616108389694,0.06298838377824856,0.23848220224129846
103,-0.08437135082253881,0.06401545541669207,0.2398103163763333
104,-0.08321627952532705,0.06425029324866505,0.24170914950654476
105,-0.08381227460923475,0.06484889074333622,0.24181859203053377
106,-0.08239340533608756,0.06562824410936707,0.24383705898068964
107,-0.08250238223516092,0.06686058525544036,0.24412074066574357
108,-0.0829057255127415,0.06765852789737781,0.2459174696106086
109,-0.08320956607794412,0.06814089296151193,0.24780672164738213
110,-0.08322711906599727,0.06831277985050155,0.25020681728179117
111,-0.08384277502379507,0.06842692839584286,0.250853749244644
112,-0.08476353377459678,0.06944736757558401,0.2521456306666037
113,-0.08433151262000814,0.06983036644092155,0.253426983144339
114,-0.08411808903847748,0.07024154962786655,0.2556281898879446
115,-0.08399803869217848,0.07075805871112606,0.2570156941565924
116,-0.08367872959598363,0.07226119691851429,0.25885164741794076
117,-0.08485850871852178,0.07246127583607531,0.26142733729199463
118,-0.0842376554096096,0.07306571529229788,0.2629354044839238
119,-0.0857370126032746,0.07402546573203561,0.26340660271994476
120,-0.0863066854339429,0.07450827533101212,0.266070042226777
121,-0.08578556384336976,0.0750148846776586,0.2686409723975667
122,-0.08551849512984562,0.07557885964748035,0.2693121891027552
123,-0.08527785272688586,0.07583606503263107,0.27258857221347205
124,-0.08642609956691785,0.07632154464051433,0.27386676229913715
125,-0.08544870623829835,0.07717038107580998,0.27551314366205715
126,-0.08502288378094625,0.07805321930265974,0.2779954544749406
127,-0.08482114449859186,0.07902949033007567,0.28027827628445273
128,-0.0845308006857477,0.08030030655539089,0.28271545897052647
129,-0.08486356802284385,0.08209925362448012,0.2841979299413799
130,-0.08399753652190858,0.08234151933174716,0.284747504722497
131,-0.0855743241626131,0.08308019438741099,0.2886077065443773
132,-0.08520666185933504,0.08394331188914816,0.2911155803905792
133,-0.08423728759510898,0.08408384424856818,0.29105369195873987
134,-0.08560295870615657,0.0849364192486336,0.29165433296681276
135,-0.08502700456004661,0.08612753334236312,0.29319811007480057
136,-0.08518601193972815,0.08692528015967982,0.2961343193000114
137,-0.0862561837681808,0.08719322716341738,0.29812501559274546
138,-0.08662596784522536,0.0876884002047077,0.2980837512686435
139,-0.08604908188775878,0.08839909377250643,0.2996526083299196
140,-0.0858407188397611,0.0884796788679797,0.3013531120011767
141,-0.08698134624393841,0.08925525424694958,0.302033668095702
142,-0.08728499226481747,0.08979598604610639,0.3057056978516189
143,-0.08624795426014895,0.09091154260973267,0.3068563150617696
144,-0.08700375351632278,0.09151925422617979,0.3080956046801042
145,-0.08698913945062489,0.09249067590269278,0.30896471311985896
146,-0.08717928556162041,0.09243807033602214,0.3097532855682429
147,-0.08761026703971853,0.09359295931287859,0.3109726919525477
148,-0.08708479246880058,0.09456884199405302,0.31297871906436986
149,-0.0873247507165826,0.09546940096714518,0.3147827729713092
150,-0.08622788280538907,0.09544138802082047,0.31589360144453654
151,-0.08478618918278333,0.09680630711008031,0.317205217568311
152,-0.08523580112149623,0.09718800820915663,0.31837509481086784
153,-0.08540832800282118,0.09699714323297615,0.320633719948206
154,-0.08481027269635977,0.09800740688584941,0.32201175300190543
155,-0.0861907086889715,0.09991786241219136,0.32292916687618806
156,-0.08597567775834042,0.09971836689994829,0.3252346716902619
157,-0.08619844235872501,0.10025214451553233,0.32756977258293224
158,-0.08407725730156942,0.10129941808356202,0.3287517686565198
159,-0.08468433197761092,0.10244088865508472,0.3294643519203585
160,-0.08448231808107542,0.10202200806622741,0.3315606847481583
161,-0.08453596554946381,0.10186613364587482,0.33380272125481164
162,-0.08402112655692978,0.10288952201822055,0.3360930490160015
163,-0.08548296528824563,0.10321139917982258,0.3369462753491878
164,-0.08549766779687326,0.10417876628390355,0.3385445953064359
165,-0.0850656027302218,0.10500839566161646,0.3400655347617261
166,-0.08555215066248349,0.10606375735972162,0.33980869713483286
167,-0.08521514404648066,0.10780132620510341,0.34060398020593613
168,-0.08510172796942272,0.1075261226748464,0.34081721347224964
169,-0.08520622481037785,0.10782689268437573,0.3418132255064073
170,-0.0856619886511862,0.10844208472002748,0.34397636682077815
171,-0.08571665614083446,0.10907322741518843,0.34616324251904296
172,-0.08548965820383575,0.10973536668369188,0.3475396427985564
173,-0.08513388341492857,0.11094800948197658,0.35106448657370387
